Municipios;Distritos;Secciones;Indicadores_gini_p8020;Periodo;Total
28079 Madrid;2807905 Madrid distrito 05;2807905067 Madrid seccion 05067;Indice de Gini;2016;42,4
28079 Madrid;2807905 Madrid distrito 05;2807905067 Madrid seccion 05067;Indice de Gini;2015;41,6
28079 Madrid;2807905 Madrid distrito 05;2807905067 Madrid seccion 05067;Distribucion de la renta P80/P20;2023;3,5
28079 Madrid;2807905 Madrid distrito 05;2807905067 Madrid seccion 05067;Distribucion de la renta P80/P20;2022;3,6
28079 Madrid;2807905 Madrid distrito 05;2807905067 Madrid seccion 05067;Distribucion de la renta P80/P20;2021;3,4
28079 Madrid;2807905 Madrid distrito 05;2807905067 Madrid seccion 05067;Distribucion de la renta P80/P20;2020;3,3
28079 Madrid;2807905 Madrid distrito 05;2807905067 Madrid seccion 05067;Distribucion de la renta P80/P20;2019;3,6
28079 Madrid;2807905 Madrid distrito 05;2807905067 Madrid seccion 05067;Distribucion de la renta P80/P20;2018;3,8
28079 Madrid;2807905 Madrid distrito 05;2807905067 Madrid seccion 05067;Distribucion de la renta P80/P20;2017;3,9
28079 Madrid;2807905 Madrid distrito 05;2807905067 Madrid seccion 05067;Distribucion de la renta P80/P20;2016;3,8
28079 Madrid;2807905 Madrid distrito 05;2807905067 Madrid seccion 05067;Distribucion de la renta P80/P20;2015;3,4
28079 Madrid;2807905 Madrid distrito 05;2807905068 Madrid seccion 05068;Indice de Gini;2023;39,7
28079 Madrid;2807905 Madrid distrito 05;2807905068 Madrid seccion 05068;Indice de Gini;2022;40,2
28079 Madrid;2807905 Madrid distrito 05;2807905068 Madrid seccion 05068;Indice de Gini;2021;38,8
28079 Madrid;2807905 Madrid distrito 05;2807905068 Madrid seccion 05068;Indice de Gini;2020;39,1
28079 Madrid;2807905 Madrid distrito 05;2807905068 Madrid seccion 05068;Indice de Gini;2019;41,6
28079 Madrid;2807905 Madrid distrito 05;2807905068 Madrid seccion 05068;Indice de Gini;2018;41
28079 Madrid;2807905 Madrid distrito 05;2807905068 Madrid seccion 05068;Indice de Gini;2017;40,7
28079 Madrid;2807905 Madrid distrito 05;2807905068 Madrid seccion 05068;Indice de Gini;2016;41,1
28079 Madrid;2807905 Madrid distrito 05;2807905068 Madrid seccion 05068;Indice de Gini;2015;38,8
28079 Madrid;2807905 Madrid distrito 05;2807905068 Madrid seccion 05068;Distribucion de la renta P80/P20;2023;3,2
28079 Madrid;2807905 Madrid distrito 05;2807905068 Madrid seccion 05068;Distribucion de la renta P80/P20;2022;3,3
28079 Madrid;2807905 Madrid distrito 05;2807905068 Madrid seccion 05068;Distribucion de la renta P80/P20;2021;3,1
28079 Madrid;2807905 Madrid distrito 05;2807905068 Madrid seccion 05068;Distribucion de la renta P80/P20;2020;3,2
28079 Madrid;2807905 Madrid distrito 05;2807905068 Madrid seccion 05068;Distribucion de la renta P80/P20;2019;3,4
28079 Madrid;2807905 Madrid distrito 05;2807905068 Madrid seccion 05068;Distribucion de la renta P80/P20;2018;3,4
28079 Madrid;2807905 Madrid distrito 05;2807905068 Madrid seccion 05068;Distribucion de la renta P80/P20;2017;3,1
28079 Madrid;2807905 Madrid distrito 05;2807905068 Madrid seccion 05068;Distribucion de la renta P80/P20;2016;3,2
28079 Madrid;2807905 Madrid distrito 05;2807905068 Madrid seccion 05068;Distribucion de la renta P80/P20;2015;3,1
28079 Madrid;2807905 Madrid distrito 05;2807905069 Madrid seccion 05069;Indice de Gini;2023;39,7
28079 Madrid;2807905 Madrid distrito 05;2807905069 Madrid seccion 05069;Indice de Gini;2022;44,2
28079 Madrid;2807905 Madrid distrito 05;2807905069 Madrid seccion 05069;Indice de Gini;2021;41,4
28079 Madrid;2807905 Madrid distrito 05;2807905069 Madrid seccion 05069;Indice de Gini;2020;40,3
28079 Madrid;2807905 Madrid distrito 05;2807905069 Madrid seccion 05069;Indice de Gini;2019;43,5
28079 Madrid;2807905 Madrid distrito 05;2807905069 Madrid seccion 05069;Indice de Gini;2018;45,6
28079 Madrid;2807905 Madrid distrito 05;2807905069 Madrid seccion 05069;Indice de Gini;2017;41,1
28079 Madrid;2807905 Madrid distrito 05;2807905069 Madrid seccion 05069;Indice de Gini;2016;40,9
28079 Madrid;2807905 Madrid distrito 05;2807905069 Madrid seccion 05069;Indice de Gini;2015;41,1
28079 Madrid;2807905 Madrid distrito 05;2807905069 Madrid seccion 05069;Distribucion de la renta P80/P20;2023;3
28079 Madrid;2807905 Madrid distrito 05;2807905069 Madrid seccion 05069;Distribucion de la renta P80/P20;2022;3,5
28079 Madrid;2807905 Madrid distrito 05;2807905069 Madrid seccion 05069;Distribucion de la renta P80/P20;2021;3,7
28079 Madrid;2807905 Madrid distrito 05;2807905069 Madrid seccion 05069;Distribucion de la renta P80/P20;2020;3,2
28079 Madrid;2807905 Madrid distrito 05;2807905069 Madrid seccion 05069;Distribucion de la renta P80/P20;2019;3,2
28079 Madrid;2807905 Madrid distrito 05;2807905069 Madrid seccion 05069;Distribucion de la renta P80/P20;2018;2,9
28079 Madrid;2807905 Madrid distrito 05;2807905069 Madrid seccion 05069;Distribucion de la renta P80/P20;2017;3,4
28079 Madrid;2807905 Madrid distrito 05;2807905069 Madrid seccion 05069;Distribucion de la renta P80/P20;2016;3,3
28079 Madrid;2807905 Madrid distrito 05;2807905069 Madrid seccion 05069;Distribucion de la renta P80/P20;2015;3,3
